Dates,DJIA CLOSE,SP500 CLOSE
6/21/2019 17:30,26796.05,2953.07
6/21/2019 19:30,26793.13,2955.41
6/21/2019 21:30,26719.13,2950.46
6/24/2019 15:30,26773.89,2952.92
6/24/2019 17:30,26753.29,2949.97
6/24/2019 19:30,26747.13,2947.11
6/24/2019 21:30,26727.54,2945.35
6/25/2019 15:30,26685.95,2935.24
6/25/2019 17:30,26641.22,2930.29
6/25/2019 19:30,26572.53,2922.46
6/25/2019 21:30,26548.22,2917.38
6/26/2019 15:30,26616.42,2924.01
6/26/2019 17:30,26601.97,2919.56
6/26/2019 19:30,26582.26,2916.11
6/26/2019 21:30,26536.82,2913.78
6/27/2019 15:30,26484.63,2919.96
6/27/2019 17:30,26588.83,2927.86
6/27/2019 19:30,26560.47,2925.63
6/27/2019 21:30,26526.58,2924.92
6/28/2019 15:30,26580.08,2932.92
6/28/2019 17:30,26588.8,2936.3
6/28/2019 19:30,26535.76,2931.85
6/28/2019 21:30,26599.96,2941.76
7/1/2019 15:30,26719.45,2961.83
7/1/2019 17:30,26663.32,2957.18
7/1/2019 19:30,26690.55,2960.47
7/1/2019 21:30,26717.43,2964.33
7/2/2019 15:30,26709.27,2964.61
7/2/2019 17:30,26701.36,2963.02
7/2/2019 19:30,26719.04,2966.21
7/2/2019 21:30,26786.68,2973.01
7/3/2019 15:30,26872.21,2986.14
7/3/2019 17:30,26966,2995.82
7/3/2019 19:30,26966,2995.82
7/5/2019 15:30,26828.96,2977.72
7/5/2019 17:30,26918.99,2987.4
7/5/2019 19:30,26927.89,2991.17
7/5/2019 21:30,26922.12,2990.41
7/8/2019 15:30,26799.5,2975.39
7/8/2019 17:30,26791.73,2973.68
7/8/2019 19:30,26806.94,2975.91
7/8/2019 21:30,26806.14,2975.95
7/9/2019 15:30,26708.03,2973.33
7/9/2019 17:30,26727.46,2974.42
7/9/2019 19:30,26726.83,2973.54
7/9/2019 21:30,26783.49,2979.63
7/10/2019 15:30,26835.72,2987.02
7/10/2019 17:30,26883.78,2994.63
7/10/2019 19:30,26858.72,2991.22
7/10/2019 21:30,26860.2,2993.07
